ID,Latitude,Longitude,Name
kaby1243,36.4103,4.76137,Kabyle
senh1238,34.9992,-4.51293,Senhaja De Srair
ghom1257,34.7979,-4.6696,Ghomara
cent2194,32.7415,-2.40872,Central Moroccan Berber
tach1250,29.7854,-7.77879,Tachelhit
ghad1239,30.1168,10.0165,Ghadames
taha1241,22.5908,8.73169,Tahaggart Tamahaq
tawa1286,13.9878,4.47692,Tawallammat Tamajaq
tama1365,14.2038,-2.41269,Tamasheq
taya1257,16.9232,7.6743,Tayart Tamajeq
nafu1238,33.4398,9.83329,Nafusi
zena1248,16.82,-16.1711,Zenaga
tets1235,14.973333,5.699722,Tetserret
guan1277,28.0,-15.5,Guanche
taga1278,31.9454,5.28444,Ouargli
tema1243,33.3489,6.06562,Oued Righ
tazn1238,29.1107,0.01992,Sud Oranais-Gourara
tumz1238,32.5014,3.85035,Tumzabt
tidi1241,27.019,1.86218,Tidikelt-Tuat Tamazight
tach1249,35.1867,6.88901,Chaouia of the Aures
tari1263,34.916974,-3.430616,Tarifiyt-Beni-Iznasen-Eastern Middle Atlas Berber
tuni1262,32.863859,11.299621,Tunisian-Zuwara Berber
sene1271,34.4678,9.43778,Sened
chen1266,36.5917,2.19899,Western Algerian Berber
siwi1239,29.200415,25.519627,Siwi
sawk1238,29.16,15.9742,Sawknah-Fogaha
awji1241,29.2341,21.1819,Awjilah
