ID,Latitude,Longitude,Name
male1297,10.7485,-84.7318,Maléku Jaíka
huet1235,10.159775,-84.255066,Huetar
rama1270,11.5007,-83.8571,Rama
dora1242,8.567442,-82.375717,Dorasque
chan1324,9.359643,-82.568207,Changuena
ngab1239,8.8251,-82.3911,Ngäbere
bugl1243,8.57695,-81.25648,Buglere
bord1248,7.92993,-77.1664,Border Kuna
sanb1242,9.15686,-78.3075,San Blas Kuna
boru1252,8.88093,-83.2124,Boruca
teri1250,9.067,-82.9631,Teribe
cabe1245,9.67031,-83.4102,Cabécar
brib1243,9.39794,-83.0539,Bribri
anti1242,7.199341,-75.342236,Antioquian
chim1309,10.1902,-74.2559,Chimila
cogu1240,10.9485,-73.8043,Cogui
kank1244,10.750207,-73.357544,Kankuamo
mala1522,10.9286,-73.4056,Malayo
arhu1242,10.7018,-73.6363,Arhuaco
chib1270,6.24999,-74.1666,Chibcha
duit1239,5.786798,-73.021374,Duit
bari1297,9.08497,-72.9353,Barí
ango1257,6.54198,-71.9212,Angosturas Tunebo
cent2150,6.8867,-72.097,Central Tunebo
west2651,6.90704,-72.6507,Western Tunebo
barr1251,6.12622,-72.044,Barro Negro Tunebo
pech1241,15.8033,-85.558,Pech
