ID,Latitude,Longitude,Name
neng1238,-21.5305,167.964,Nengone
dehu1237,-20.8892,167.229,Dehu
iaai1238,-20.6301,166.59,Iaai
paic1239,-21.096,165.15,Paicî
cemu1238,-20.8489,165.13,Cemuhî
have1241,-21.0249,164.753,Haveke
haek1239,-21.0735,164.869,Haeke
bwat1240,-21.3777,165.076,Bwatoo
hmwa1243,-20.9246,164.768,Hmwaveke
waam1236,-20.5014,164.409,Waamwang
vama1243,-20.7708,165.04,Vamale
jawe1237,-20.6648,164.676,Jawe
pwap1237,-20.8133,164.556,Pwapwa
pwaa1237,-20.8442,164.77,Pwaamei
pije1237,-20.7824,164.942,Pije
fwai1237,-20.6873,164.901,Fwâi
nemi1240,-20.6791,164.797,Nemi
caac1237,-20.4114,164.578,Caac
yuag1237,-20.5664,164.51,Yuaga
kuma1276,-20.4035,164.193,Nêlêmwa-Nixumwak
nyal1254,-19.72,163.66,Belep
bala1316,-20.25,164.2,Balade
dumb1241,-22.0947,166.531,Dumbea
nume1242,-22.2689,166.705,Numee
orow1242,-21.6269,165.473,Orowe
tiri1258,-21.8147,165.792,Tiri-Mea
xara1243,-21.8223,166.376,Xaragure
ajie1238,-21.3029,165.468,Ajië
arho1237,-21.3183,165.161,Arhö
arha1237,-21.2866,165.273,Arhâ
zire1240,-21.6544,165.482,Zire
neku1237,-21.6524,165.578,Neku
xara1244,-21.7034,165.996,Xârâcùù
