ID,Latitude,Longitude,Name
bugu1246,27.1929556,92.4713002,Bugun
sulu1241,27.3153778,92.3840919,Eastern Puroik
west2873,27.6808861,93.1364474,Western Puroik
lish1235,27.3688993,92.2394672,Khispi
chug1252,27.4177713,92.2255891,Duhumbi
sart1249,27.375914,92.409383,Sartang
sher1257,27.0035,92.5799,Sherdukpen
dura1244,28.173,84.435,Dura
gama1251,28.411,82.6749,Gamale Kham
east2354,28.5259,82.9523,Eastern Parbate Kham
west2420,28.6521,82.7348,Western Parbate Kham
shes1236,27.9437,82.6467,Sheshi Kham
west2418,28.2462,83.511,Western Magar
east2352,27.4135166667,87.06171,Eastern Magar
bujh1238,28.0084,84.5068,Bujhyal
chep1245,27.7206,84.9017,Chepang
newa1246,27.67,85.326,Kathmandu Valley Newari
paha1257,27.566,85.318,Pahari Newari
east2773,27.576985,86.033964,Eastern Newari
than1259,28.7554,85.7657,Thangmi
bara1357,28.3768,85.0584,Baraamu
limb1266,27.2703,87.8859,Limbu
yakk1236,27.3714,87.9306,Yakkha
belh1239,26.9972,87.2783,Belhariya
athp1241,26.8794,87.3296,Athpariya
chhi1245,26.961,87.1899,Chintang
chhu1238,26.9107,87.2133,Chhulung
nort2727,27.5102,87.2157,Lohorung
sout2734,26.932,87.3959,Southern Yamphu
yamp1242,27.6322,87.0441,Yamphu
east2357,27.5103,87.1134,Eastern Meohang
west2422,27.4265,87.2893,Western Meohang
tilu1238,27.2203,86.4694,Tilung
sunw1242,27.5201,86.2476,Sunwar
wayu1241,27.3047,86.1227,Wayu
bahi1252,27.3323,86.3949,Bahing
jeru1240,27.1741,86.2547,Jerung
wamb1257,27.14808,86.47646,Wambule
thul1246,27.5389,87.6063,Thulung
koii1238,27.1941,86.8531,Koi
khal1275,27.3912,87.5053,Khaling
dumi1241,27.45849,86.75699,Dumi
puma1239,27.0774,86.838,Puma
dung1252,26.9813,87.3328,Dungmali
caml1239,27.3371,86.7612,Camling
bant1281,27.12147,87.04738,Bantawa
wali1261,26.6369,86.4837,Waling
samp1249,27.2999,87.0019,Sampang
kulu1253,27.1606,87.5717,Kulung (Nepal)
chuk1270,27.358,86.9824,Chukwa
nach1240,27.4202,86.7001,Nachering
saam1282,26.8442,87.9534,Saam
lepc1244,27.0869,88.5726,Lepcha
lhok1238,26.9135,89.3099,Lhokpu
sout2739,28.2368,110.022,Southern Tujia
nort2732,29.3016,109.759,Northern Tujia
quey1238,30.3113,100.813,Queyu
japh1234,32.1,102.36,Japhug
zbua1234,32.1506,101.7048,Zbu
tsho1240,32.18,101.84,Tshobdun
situ1238,31.590536,102.660664,Situ
horp1239,31.1026,101.72,Stau-Dgebshes
shan1274,31.79891,101.30739,Stodsde
guan1266,31.5655,101.928,Khroskyabs
tang1334,38.894904,102.246464,Tangut
sout2728,31.5392,103.384,Southern Qiang
nort2722,32.2766,103.192,Northern Qiang
sout3257,31.852418,103.828678,Southeast Maoxian Qiang
zhab1238,30.7416,100.983,Zhaba
zlar1234,29.783701,98.135713,Zlarong
drag1234,30.509199,98.077073,Drag-yab
lamo1245,29.892352,97.420774,Lamo
sout2729,27.8408,100.622,Southern Pumi
nort2723,28.6626,101.305,Northern Pumi
west2417,29.444,101.418,Western Muya
east2351,29.235,102.168,Eastern Muya
guiq1238,30.4803,102.128,Guiqiong
tosu1234,28.533333,102.083333,Tosu
ersu1241,29.2867,102.213,Ersu
lizu1234,28.333425,101.350309,Lizu
naxi1245,27.5,100.0,Naxi
yong1270,27.8,100.9,Narua
laze1238,27.85,101.45,Laze
shix1238,28.3895,100.4,Shixing
namu1246,28.5909,101.898,Namuyi
phol1235,23.667,104.238,Pholo
lahu1252,21.2078,100.97,Lahu Shi
lahu1253,21.2701,100.214,Lahu
kuco1235,22.26,101.25,Kucong
lamu1257,25.8,100.15,Lamu
nalu1239,25.97,102.598,Naluo Yi
sama1296,23.76,98.825,Samatu
mili1235,24.115,100.611,Mili
limi1243,24.469,100.073,Limi
hler1235,24.4,101.4,Hlersu
lipo1242,25.226,101.302,Lipo
miqi1235,25.3,102.301,Miqie
lolo1259,25.50051,101.30185,Lolopo
kuan1249,26.45,103.33,Kua-nsi
kuam1234,26.35,103.33,Kuamasi
sona1244,26.55,103.33,Sonaga
talu1238,26.4,101.0,Lavu-Yongsheng-Talu
xish1235,24.8709,100.711,Xishanba Lalo
west1506,24.73,98.9,Western Lalu
dong1286,25.435,100.178,Dongshanba Lalo
east2696,23.585,101.546,Eastern Lalu
xuzh1234,25.344026,99.112244,Xuzhang Lalo
sout3210,23.5,99.33,Southern Lalo
ekaa1234,23.475,99.865,Eka
yang1304,25.22482,99.046326,Yangliu
lisu1250,26.91,98.94,Lisu
tang1372,26.9,99.9,Tanglang-Toloza
sadu1234,24.3,102.0,Sadu
kats1235,24.6,102.4,Katso
sama1295,25.012,102.2,Samatao
aluo1235,26.0,102.0,Aluo
wusa1235,25.7707,102.367,Wusa Nasu
wume1235,27.574,103.646,Wumeng Nasu
gepo1234,25.7,102.5,Gepo
sani1265,25.2,102.12,Sanie
same1240,24.7859,99.9217,Samei
ches1238,24.05,101.98,Chesu
ayiz1244,25.0,103.7,Ayizi
wudi1238,25.48,102.48,Wuding-Luquan Yi
sich1238,28.1947,102.121,Sichuan Yi
awuu1235,25.395,103.306,Southern Awu (Lope)
ache1244,24.152,102.446,Ache
sout2723,23.058,101.412,Southern Nisu
farn1234,25.646902,99.684187,Far Northwestern Nisu
east2349,23.9843,102.694,Eastern Nisu
nort2718,24.408,102.456,Northern Nisu
nyis1235,24.687297,103.59811,Nyisu
lagh1245,22.2674,103.929,Laghuu
phum1235,23.1,104.05,Phuma
bokh1237,23.05,103.7,Bokha
sout2722,22.87312,103.306087,Southern Muji
nort2716,23.031191,103.418697,Northern Muji
muzi1235,23.086,103.464,Muzi
qila1235,22.570376,103.141292,Qila Muji
thop1236,24.15,104.9,Thopho
moji1238,23.2,104.15,Moji
anip1235,23.7,103.6,Ani Phowa
labo1243,23.9,103.4,Labo Phowa
khlu1236,23.1,104.45,Khlula
zokh1238,23.8,104.8,Zokhuo
phuk1235,25.5277,106.148,Phukha
hlep1236,23.591,103.733,Hlepho Phowa
nisi1238,23.418,104.85,Nisi (China)
phal1256,23.354,102.505,Phala
alop1235,23.59,101.933,Alo Phola
phol1237,23.4674,102.228,Phola
phuz1235,23.05,103.4,Phuza
phup1239,23.0,103.4,Phupa
alug1235,23.0,103.0,Alugu
phup1237,22.95,102.3,Phupha
azha1235,23.9,104.15,Azha
axiy1235,24.6009,103.713,Axi Yi
azhe1235,24.405,103.441,Azhe
sani1269,24.278,103.759,Sani
sout2719,22.909678,103.101616,Awu
lawu1238,24.133878,101.498795,Lawu
buyu1238,22.0,101.08,Buyuan Jinuo
youl1235,22.0473,101.057,Youle Jinuo
cosa1234,21.616667,101.566667,Cosao
sila1247,21.6888,102.134,Sila
phan1254,21.9387,101.978,Phana'
phun1245,20.7996,100.957,Phunoi
